name,developers,is_free,negative,owners,positive,publishers,release_yyyy_mm,category_descriptions,genre_descriptions,tags_list
VRChat,['VRChat Inc.'],True,58732,"20,000,000 .. 50,000,000",181623,['VRChat Inc.'],2017-02-01,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'In-App Purchases']","['Adventure', 'Casual', 'Massively Multiplayer', 'Simulation', 'Sports', 'Free To Play', 'Early Access']","['VR', 'Free to Play', 'Multiplayer', 'Anime', 'Memes', 'Funny', 'Massively Multiplayer', 'First-Person', 'Open World', 'Early Access', 'Simulation', 'Casual', 'Adventure', 'MMORPG', 'Comedy', 'Sandbox', 'Dating Sim', 'Survival Horror', 'Action', 'Atmospheric']"
Call of Duty®: Black Ops III,"['Treyarch', 'Aspyr (Mac)']",False,33720,"5,000,000 .. 10,000,000",181306,"['Activision', 'Aspyr (Mac)']",2015-11-01,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure']","['Multiplayer', 'Zombies', 'FPS', 'Shooter', 'Action', 'First-Person', 'Singleplayer', 'Co-op', 'Futuristic', 'Illuminati', 'Hero Shooter', 'Robots', 'Sci-fi', 'Gore', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Parkour', 'Quick-Time Events', 'Split Screen']"
Hunt: Showdown 1896,['Crytek'],False,67110,"10,000,000 .. 20,000,000",181110,['Crytek'],2019-08-01,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV']",['Action'],"['Open World', 'Extraction Shooter', 'Multiplayer', 'Atmospheric', 'Tactical', 'FPS', 'Perma Death', 'Western', 'Shooter', 'PvP', 'Horror', 'Online Co-Op', 'Co-op', 'Survival Horror', 'Difficult', 'Battle Royale', 'Team-Based', 'Action', 'Gore', 'Zombies']"
Cuphead,['Studio MDHR Entertainment Inc.'],False,6941,"5,000,000 .. 10,000,000",179894,['Studio MDHR Entertainment Inc.'],2017-09-01,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie']","['Difficult', 'Cartoon', 'Co-op', 'Platformer', 'Great Soundtrack', 'Local Co-Op', '2D', 'Multiplayer', 'Hand-drawn', 'Indie', 'Cartoony', 'Retro', 'Bullet Hell', 'Action', ""Shoot 'Em Up"", 'Singleplayer', 'Side Scroller', 'Colorful', 'Souls-like', 'Funny']"
R.E.P.O.,['semiwork'],False,6488,"10,000,000 .. 20,000,000",179154,['semiwork'],2025-02-01,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']","['Action', 'Early Access']","['Horror', 'Online Co-Op', 'Multiplayer', 'Comedy', 'Co-op', 'Physics', '3D', 'First-Person', 'Stealth', 'Action', 'Robots', 'Survival', 'Exploration', 'Action Roguelike', 'Procedural Generation', 'Post-apocalyptic', 'Perma Death', 'Sci-fi', 'Dystopian ', 'Early Access']"
Slay the Spire,['Mega Crit'],False,4027,"5,000,000 .. 10,000,000",178250,['Mega Crit'],2019-01-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Indie', 'Strategy']","['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Rogue-like', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Rogue-lite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'RPG', 'Mouse only', '2D', 'Great Soundtrack', 'Procedural Generation', 'Fantasy', 'Casual']"
Resident Evil 4,"['CAPCOM Co., Ltd.']",False,4169,"5,000,000 .. 10,000,000",177539,"['CAPCOM Co., Ltd.']",2023-03-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']","['Action', 'Adventure']","['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Singleplayer', 'Zombies', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Remake', 'Realistic', 'Third Person', 'Gore', 'Resource Management', 'VR', 'Adventure', 'Violent', 'Action-Adventure', 'Psychological Horror']"
Battlefield™ V,['DICE'],False,72936,"10,000,000 .. 20,000,000",177352,['Electronic Arts'],2020-10-01,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HDR available']",['Action'],"['FPS', 'Multiplayer', 'Singleplayer', 'World War II', 'Shooter', 'War', 'Military', 'First-Person', 'Massively Multiplayer', 'PvP', 'Combat', 'Open World', 'Action', 'Historical', 'Destruction', 'Battle Royale', 'Atmospheric', 'Violent', 'Sexual Content', 'Female Protagonist']"
Counter-Strike: Source,['Valve'],False,6808,"10,000,000 .. 20,000,000",175426,['Valve'],2004-11-01,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing']",['Action'],"['Shooter', 'FPS', 'Action', 'Multiplayer', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', 'PvP', 'e-sports', 'Military', 'War', 'Strategy', 'Moddable', 'Singleplayer', 'Difficult', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']"
Squad,['Offworld'],False,35463,"2,000,000 .. 5,000,000",175088,['Offworld'],2020-09-01,"['Multi-player', 'PvP', 'Online PvP', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Valve Anti-Cheat enabled']","['Action', 'Indie', 'Massively Multiplayer', 'Strategy']","['Military', 'Realistic', 'FPS', 'Multiplayer', 'Tactical', 'Shooter', 'Team-Based', 'War', 'First-Person', 'Action', 'Massively Multiplayer', 'Strategy', 'Modern', 'Simulation', 'Wargame', 'Base-Building', 'Open World', 'Immersive Sim', 'Atmospheric', 'PvP']"
